objectid,filename,title,description,story writer,artist,status,genres,comic type,latest chapter,format
coll001,mujang.jpg,Mujang,"Set during the Goryeo military regime, a hero that arises from a slave to be reborn as a general.",Kim Chulhyun,Kim Chulhyun,Completed,Action; Historical; Martial Arts,Webtoon,229,image/jpg
coll002,one piece.jpg,One Piece,"As a boy, Monkey D. Luffy has always wanted to be the Pirate King. His body obtained the properties of rubber after eating a Devil Fruit. Together with a diverse crew of wannabe pirates, Luffy sets out on the ocean in an attempt to find the world’s ultimate treasure, One Piece.",Eiichiro Oda,Eiichiro Oda,Ongoing,Action; Adventure; Comedy,Manga,1033,image/jpeg
coll003,blue lock.jpg,Blue Lock,"In 2018, the Japanese national team finished 16th in the FIFA World Cup. As a result, the Japanese Football Union decided to build a facility called Blue Lock to train players in order to lead Japan to a victory in the World Cup, with the condition that disqualified players will never be able to represent Japan. Yoichi Isagi, an unknown high school student, decides to join the program in order to become the best player in the world.",Muneyuki Kaneshiro,Yusuke Nomura,Ongoing,Action; Sports; Modern,Manga,154,image/jpeg
coll004,demon slayer.jpg,Demon Slayer,"Tanjiro is the oldest son in his family who has lost his father. One day, Tanjiro ventures off to another town to sell charcoal. Instead of going home, he ends up staying the night at someone else's house due to rumors of a demon nearby in the mountains. When he gets home the following day, a terrible tragedy awaits him.",Koyoharu Gotouge,Koyoharu Gotouge,Completed,Action; Adventure,Manga,205.5,image/jpeg
coll005,slime.jpg,Tensei Shitara Slime Datta Ken,"A man is stabbed by a robber on the run after pushing his coworker and his coworker's new fiance out of the way. As he lays dying, bleeding on the ground, he hears a voice. This voice is strange and interprets his dying regret of being a virgin by gives him the [Great Sage] unique skill! Is he being made fun of !?!",Fuse,Taiki Kawakami,Ongoing,Action; Adventure; Comedy; Isekai,Manga,90,image/jpeg
coll006,eleceed.jpg,Eleceed,"Jiwoo is a kind-hearted young man who harnesses the lightning quick reflexes of a cat to secretly make the world a better place – one saved little child or foster pet at a time. Kayden is a secret agent on the run, who finds himself stuck in the body of a…um…decidedly fat old fluffy cat. Together, armed with Jiwoo’s super powers and Kayden’s uber-smarts, they’re out to fight those forces who would let evil rule this world. That is, if they can stand each other long enough to get the job done.",Son Jae Ho,ZHENA,Ongoing,Action; Adventure; Comedy; Modern,Webtoon,170,image/jpeg
coll007,trash of the counts family.jpg,Trash of the Count's Family,"Kim Roksu has one life motto: ""Let's not get beat up."" But after dozing off somewhere midway through the novel ""Birth of a Hero"", he wakes up as Cale Henituse - one of the minor villains in the novel who gets the beating of a lifetime from soon-to-be hero Choi Han. Only time will tell how much longer he has before that dreadful encounter. Can Kim Roksu change the course of this story so he can enjoy a long and lavish life free of the soon-to-be hero?",Yoo Ryeo Han,PAN4,Ongoing,Action; Adventure; Comedy; Isekai,Webtoon,64,image/jpeg
coll008,ichi.jpg,Ichi,"Ichi is a lone goze (blind woman singer) who has become separated from her traveling entertainment troupe. Wondering how she will find her place in life, she carries only a shamisen (a traditional Japanese stringed instrument) and a walking stick with a hidden blade inside. When necessary, she uses her exceptional sword skills to fight off yakuza and other villains.",Shimozawa Kan,Shinohara Hana,Completed,Action; Drama; Historical,Manga,39,image/jpeg
coll009,orv.jpg,Omniscient Reader's Viewpoint,"Dokja was an average office worker whose sole interest was reading his favorite web novel 'Three Ways to Survive the Apocalypse.' But when the novel suddenly becomes reality, he is the only person who knows how the world will end. Armed with this realization, Dokja uses his understanding to change the course of the story, and the world, as he knows it.","sing N song, UMI",Sleepy-C,Ongoing,Action; Isekai,Webtoon,83,image/jpeg
coll010,the breaker.jpg,The Breaker,"The new English teacher, Chun-Woo, is not your ordinary teacher. Shioon, a victim of constant bullying, unexpectedly witnesses Chun-Woo's fighting power, and begs him to make him his disciple. Chun-Woo claims he can teach Shioon only if he is truly determined, and Shioon must jump off a bridge into a deep river in order to prove it! It turns out, however, that Chun-Woo and his powers are more than meets the eye.",Jeon Geuk-jin,Park Jin-hwan,Completed,Action; Adventure; Martial Arts; Modern,Manhwa,72,image/jpeg
coll011,the breaker new waves.jpg,The Breaker: New Waves,"After his master Goomonryong destroys his ki-center, Shioon leaves the world of the Murim for a normal life to which he believes his master was trying to return him. But for a boy who holds the Phoenix medallion of the Sunwoo clan and the knowledge of the Black Heaven & Earth Technique, the world of the Murim will come to him… Continuation of The Breaker with new allies and enemies.",Jeon Geuk-jin,Park Jin-hwan,Completed,Action; Adventure; Martial Arts; Modern,Manhwa,201,image/jpeg
coll012,sengoku strays.jpg,Sengoku Strays,"Kasane is your average kendo-obsessed girl, when a brush with a mysterious sword sends her back in time to the Sengoku Era. Stuck in an unfamiliar time and place, Kasane also has the poor luck of winding up right in the middle of the turmoil that surrounded Oda Nobunaga's rise to power!",Shingo Nanami,Shingo Nanami,Completed,Action; Adventure; Comedy; Historical; Isekai,Manga,76,image/jpeg
coll013,nano machine.jpg,Nano Machine,"After being held in disdain and having his life put in danger, an orphan from the Demonic Cult, Cheon Yeo-Woon, has an unexpected visit from his descendant from the future who inserts a nano machine into his body, drastically changing his life after its activation. The story of Cheon Yeo-Woon's journey of bypassing the Demonic Cult and rising to become the best martial artist has just begun.",Jeoulmu Hyeon,Geum Gangbulgoe,Ongoing,Action; Martial Arts,Webtoon,83,image/jpeg
coll014,stepmothers marchen.jpg,The Stepmother's Märchen,"They called her the Iron Widow. When her husband died, he left her to manage not only his vast holdings but also his four children. Young and inexperienced, Shuri nonetheless tried her best to raise them, despite their bitter attitude towards her. She is finally free to live her own life as her eldest son marries... only to find herself mysteriously reset to seven years ago—the night of her husband's funeral. Can Shuri find happiness with this second chance at a new destiny?",Spice & Kitty,ORKA,Ongoing,Reincarnation; Romance,Webtoon,75,image/jpeg
coll015,scholars reincarnation.jpg,Scholar's Reincarnation,"A martial artist, claiming himself to be a “murderer” is defeated by a suicide attack in battle and is reborn as a first born child to a local lord. Having a fresh start, a warm family and a little sister to protect – he decides to become a better person in his new life.",Soo Yu Hyun,Yum Jack Jack,Ongoing,Action; Adventure; Martial Arts; Reincarnation; Romance,Webtoon,188,image/jpeg
coll016,volcanic age.jpg,Volcanic Age,"Ju Seo Cheon, a man who survives the age of war through sheer luck and becomes the elder of the Hwasan faction, only to live a life full of regrets and doubts. As he lies on his death bed, waiting for the inevitable, he is returned to the past…",Jeong Jun,Tomato,Ongoing,Action; Adventure; Martial Arts; Reincarnation,Webtoon,189,image/jpeg
coll017,doctors rebirth.jpg,Doctor's Rebirth,"I had been abroad to do medical volunteer work, when I was swept up in a civil war. I was killed by a rebel soldier, while taking a bullet for a patient. But when I finally woke up, I had become a child?!? And in front of me stood a destroyed carriage and a group of oddly dressed people, who were unconscious, in the world of [The Supreme Demon King], a Murim novel I’ve enjoyed reading. This is the story of how I became the greatest physician in Gangho!",Taesun,Dobin,Ongoing,Action; Isekai; Martial Arts; Reincarnation,Webtoon,65,image/jpeg
coll018,villainess gingerbread.jpeg,The Villainess Princess Wants to Live in a Gingerbread House,"I thought I had reincarnated into a poverty-stricken family, until… “I have come to escort Her Highness Anastasia of the imperial family!” It seems I have been reincarnated in a novel as an imperial princess who coveted power and met a wretched end! I diligently baked pastries with the help of the spirit I made a contract with so I could fulfill my dream in my past life to become a patissier and prove that I wasn’t power-hungry.",Friedrich,Marron Pie,Ongoing,Comedy; Isekai,Webtoon,43,image/jpeg
coll019,the way to protect.jpg,The Way to Protect the Female Lead's Brother,"I accidentally reincarnated as a character from a 19+ reverse harem novel.

The problem is that I became Roxana Agriche, the older sister of the sub-villain. And my damn father kidnapped the heroine’s brother. Now, the only thing left for me is to meet a terrible end from the vengeance of the heroine.

But what if I can avoid that horrible development?

“I’m also interested in this toy.”

“I’ll protect you until you can get out of here safely.”

The heroine’s brother, Cassis Pedalian, will definitely be able to pay me back later.",Kin,Baek Jiyoung,Ongoing,Action; Isekai; Romance,Webtoon,35,image/jpeg
coll020,i will change the genre.jpg,I Will Change the Genre,"I reincarnated into my favorite novel genre.

I became the villainous aunt who mistreats the young protagonist. But I felt sorry for my nephew who would grow up as a protagonist in a revenge plot, so I’ll try to take care of my nephew until his uncle shows up and takes him as per the original plot.

But I’ve become his mother all of a sudden?",Garin,KEN,Ongoing,Comedy; Isekai; Romance,Webtoon,39,image/jpeg
coll021,crimson karma.jpg,Crimson Karma,"Kasia Del Roman is a soldier crafted to become an assassin. She lost her human emotions long ago and lived her life as a simple tool, just to be thrown away in her final moments. She couldn’t even die a proper death as she opened her eyes to a battlefield of a different world. Will she live the same life she did in her original world?",Lemon Frog,Rada; Ssalsoop; Yasen,Ongoing,Action; Isekai; Romance,Webtoon,114,image/jpeg
coll022,matriarch in this life.jpg,I'll be the Matriarch in this Life,"Florentia was reincarnated as the illegitimate child of the richest family in the empire.

She had thought that everything would go well in the future.

But her father had passed away, her relatives left her at the doorsteps, and the honourable family she was so proud of was completely ruined….

But is this real?

She drank a little (a lot) and was hit by a carriage,
When she opened her eyes again, she was seven years old?",Antstudio; Kim Roah,Gammon,Ongoing,Comedy; Reincarnation; Romance,Webtoon,51,image/jpeg
coll023,returners magic.jpg,A Returner's Magic Should be Special,"The Shadow Labyrinth – the deadliest catastrophe humanity has ever known. Desir Arman, one of the six remaining survivors of mankind, is inside the Labyrinth. The six of them attempt to clear the final level of the Labyrinth but ultimately fail, and the world comes to an end. However, when Desir thought he would meet his demise, what appears before him is the world… thirteen years ago?! ",Yu So Nan,Uk Jag Ga,Ongoing,Action; Adventure; Martial Arts; Reincarnation; Romance,Webtoon,174,image/jpeg
coll024,iruma.jpg,Mairimashita! Iruma-kun,"Suzuki Iruma has been sold to the demon by his irresponsible parents in exchange for money. Surprisingly, next thing he knows, he is living with the demon and has been transferred into a school from Demon World. What will happen in Iruma-kun's extraordinary school life?",Osamu Nishi,Osamu Nishi,Ongoing,Action; Adventure; Comedy,Manga,231,image/jpeg
coll025,kaiju.jpg,Kaiju No. 8,"Kafka wants to clean up kaiju, but not literally! Will a sudden metamorphosis stand in the way of his dream?",Matsumoto Naoya,Matsumoto Naoya,Ongoing,Action; Comedy,Manga,51,image/jpeg
coll026,descent of demonic.jpg,The Descent of the Demonic Master,"The first life. After a tragic accident losing his family and legs, he ends his own life. The second life. He earned fame as the Red Demonic Master in Zhongyuan, but was betrayed by the man he trusted the most. And now comes his third life. In his life back in the modern world, Gang Jinho decides to live a normal life… However, he was too used to the Zhongyuan life to become a normal person! In front of the threats of his new life, can Gang Jinho shake off his impulses as the Red Demonic Master and obtain the ‘normal life’ he desires? The adaptation story of a legendary martial artist in the 21st century!",Wolbaek,Mayolang,Ongoing,Action; Martial Arts; Modern,Webtoon,117,image/jpeg
coll027,beauty pop.jpg,Beauty Pop,"Although a truly gifted hairstylist, Kiri Koshiba has no interest in using her talent to pursue fame and fortune, unlike the three popular boys in the ""Scissors Project"" at school. Determined to become the best makeover team in Japan, they give showy makeovers to handpicked girls. As much as Kiri tries to shy away from the Scissors Project spotlight, she finds herself responding to beauty's call...",Arai Kiyoko,Arai Kiyoko,Completed,Comedy; Romance; Modern,Manga,51,image/jpeg
coll028,mo dao zu shi.jpg,Mo Dao Zu Shi,"As the grandmaster who founded demonic cultivation, Wei WuXian roamed the world in his wanton ways, hated by millions for the chaos he created. In the end, he was back-stabbed by his dearest shidi and killed by powerful clans that combined to overpower him.

He incarnates into the body of a lunatic who was abandoned by his clan and is later, unwillingly, taken away by a famous cultivator among the sects—Lan WangJi, his archenemy.

This marks the start of a thrilling yet hilarious journey of attacking monsters, solving mysteries, and raising children. From the mutual flirtation along the way, Wei WuXian slowly realizes that Lan WangJi, a seemingly haughty and indifferent poker-face, holds more feelings for Wei WuXian than he is letting on…",Mo Xiang Tong Xiu," 
Luo Di Cheng Qiu; Mao Tuan Xiao Jian Jian",Ongoing,Action; Adventure; Martial Arts; Romance; Reincarnation,Manhua,195,image/jpeg
